ugc
00154   |  00     16     41.20   |  +02     27     40.8
00155   |  00     16     44.29   |  +07     04     35.5
00156   |  00     16     48.26   |  +12     21     00.6
00157   |  00     16     53.82   |  +27     50     52.4
00158   |  00     17     05.21   |  +42     09     39.0
00159   |  00     17     16.17   |  +17     31     21.6
00160   |  00     17     03.78   |  +34     29     58.6
00161   |  00     17     10.07   |  +06     43     09.0
00162   |  00     17     19.35   |  +17     25     42.9
00163   |  00     17     19.27   |  +06     43     20.9
00164   |  00     17     23.87   |  +18     05     02.6
00165   |  00     17     41.83   |  +24     40     03.2
00166   |  00     17     35.92   |  +30     12     16.9
00167   |  00     17     45.60   |  +11     27     01.2
00168   |  00     18     10.69   |  +18     17     31.8
00169   |  00     18     18.66   |  +19     23     33.7
00170   |  00     18     18.49   |  +30     04     16.6
00171   |  00     18     24.25   |  +48     43     54.0
00172   |  00     18     24.74   |  +17     50     01.8
00173   |  00     18     23.58   |  +30     03     47.2
00174   |  00     18     22.60   |  +30     04     45.7
00175   |  00     18     27.02   |  +49     59     54.1
00176   |  00     18     28.39   |  +30     02     25.7
00177a  |   00     18     59.98  |   +79     41     44.1
00177b  |   00     19     10.13  |   +79     42     11.8
00178   |  00     18     53.31   |  +48     01     00.3
00179   |  00     19     00.65   |  +23     28     33.5
00180   |  00     19     08.37   |  +15     44     57.5
00181   |  00     19     00.24   |  +19     23     51.5
00182   |  00     19     26.42   |  +06     26     56.8
00183   |  00     19     35.24   |  +47     14     27.1
00184   |  00     19     27.02   |  +13     09     39.5
00185   |  00     19     37.79   |  +29     56     01.6
00186   |  00     19     48.80   |  +23     46     20.9
00187   |  00     19     47.42   |  +09     10     01.1
00188   |  00     19     59.80   |  +20     00     17.1
00189   |  00     19     57.66   |  +15     05     31.3
00190   |  00     20     11.11   |  +42     34     14.9
00191   |  00     20     05.16   |  +10     52     45.5
00192   |  00     20     23.16   |  +59     17     34.7
00193   |  00     20     25.85   |  +00     49     33.3
00194   |  00     20     27.55   |  +00     49     59.9
00195   |  00     20     20.20   |  +07     42     01.0
00196   |  00     20     34.41   |  +47     26     04.3
00197   |  00     20     48.73   |  +20     01     52.7
00198   |  00     20     55.50   |  +21     51     57.2
00199   |  00     20     51.82   |  +12     51     21.7
00200   |  00     20     58.49   |  +17     41     16.1
00201   |  00     21     00.03   |  +07     37     18.6
00202   |  00     21     08.32   |  +27     12     47.3
00203   |  00     21     10.99   |  +22     21     24.3
00204   |  00     21     17.61   |  +23     05     27.2
00205a  |   00     21     20.34  |   +17     20     28.2
00205b  |   00     21     20.49  |   +17     21     07.0
00206   |  00     21     22.52   |  +22     26     00.1
00207   |  00     21     31.21   |  +29     39     43.3
00208   |  00     21     51.43   |  +22     23     59.0
00209   |  00     22     03.41   |  +22     24     28.2
00210   |  00     22     05.13   |  +23     44     13.1
00211   |  00     22     15.28   |  +20     36     27.9
00212   |  00     22     23.16   |  -01     18     13.4
00213   |  00     22     24.69   |  +06     25     59.8
00214   |  00     22     13.67   |  +10     29     29.1
00215   |  00     22     26.56   |  +29     30     13.7
00216   |  00     22     30.06   |  +29     44     42.5
00217   |  00     22     33.01   |  +28     07     13.4
00218   |  00     22     49.95   |  +06     57     50.4
00219   |  00     22     57.18   |  +16     15     10.8
00220   |  00     23     16.54   |  +02     25     15.9
00221   |  00     23     10.93   |  +27     25     55.7
00222   |  00     23     08.02   |  +35     08     50.4
00223   |  00     23     15.71   |  +20     15     57.4
00224a  |   00     23     37.79  |   -00     30     35.9
00224b  |   00     23     37.93  |   -00     30     12.0
00225   |  00     23     36.07   |  +20     51     10.1
00226   |  00     23     48.27   |  +14     41     00.8
00227   |  00     23     49.62   |  +26     55     20.2
00228   |  00     23     56.73   |  +24     18     20.5
00229   |  00     23     53.51   |  +28     19     57.2
00230   |  00     23     59.50   |  +15     46     13.7
00231   |  00     24     02.75   |  +16     29     10.0
00232   |  00     24     38.75   |  +33     15     21.8
00233   |  00     24     42.89   |  +14     49     28.8
00234   |  00     24     46.53   |  +29     33     36.0
00235   |  00     24     56.44   |  +45     09     50.3
00236   |  00     24     58.93   |  +43     39     45.5
00237   |  00     24     59.93   |  +06     39     52.5
00238   |  00     25     03.40   |  +31     20     39.8
00239   |  00     25     11.30   |  +42     03     52.5
00240   |  00     25     10.22   |  +06     29     26.2
00241   |  00     25     16.91   |  +12     53     01.4
00242   |  00     25     28.89   |  +20     14     14.3
00243   |  00     25     30.17   |  +45     55     14.4
00244   |  00     25     30.12   |  +24     48     39.5
00245   |  00     25     50.18   |  +05     24     54.5
00246   |  00     25     59.84   |  +29     12     42.4
00247   |  00     25     59.12   |  +14     20     52.6
00248a  |   00     26     06.04  |   +25     43     09.3
00248b  |   00     26     07.20  |   +25     43     29.7
00249   |  00     26     10.36   |  +13     39     13.1
00250   |  00     26     07.04   |  +16     26     12.2
00251   |  00     26     14.73   |  +21     48     25.1
00252   |  00     26     25.07   |  +01     01     11.6
00253   |  00     26     26.52   |  +06     16     55.5
00254   |  00     26     21.58   |  +39     29     44.5
00255   |  00     26     48.82   |  +31     42     11.7
00256   |  00     26     56.74   |  +50     01     50.6
00257   |  00     27     01.28   |  +01     27     33.6
00258   |  00     27     11.55   |  +51     03     47.8
00259   |  00     26     58.41   |  -01     47     10.3
00260   |  00     27     03.00   |  +11     35     02.2
00261   |  00     27     17.37   |  +24     10     09.2
00262   |  00     27     16.32   |  +39     47     30.7
00263   |  00     27     16.67   |  +44     03     13.9
00264   |  00     27     16.41   |  -01     46     49.3
