ugc
267,MCG+0-2-33,1.6,0.6,73,S0,14.8
268,MCG+1-2-13,2.6,1.3,15,S,15
269,MCG+1-2-0,1.1,0.5,110,S,16
270,MCG+5-2-0,1.2,1.1,,,17
271,MCG+0-2-38,1.6,0.9,168,Sc,13.8
272,MCG+0-2-36,1.8,0.8,130,Sc,15.5
273,MCG+4-2-0,1.2,0.8,115,S?IV-V,17
274,MCG+5-2-14,1.2,0.7,25,SB0-a,15.6
275,MCG+0-2-37,1.9,0.9,128,SB,14.9
276,MCG+5-2-15,1.1,0.2,33,Sa-b,15.6
277,MCG+0-2-39,1.7,1.4,160,Sc:,15.7
278,MCG+4-2-25,1.5,0.4,5,SBb-c,15.3
279,MCG+5-2-16,1.8,0.5,118,SB?,14.3
280,MCG+0-2-43,1.4,1.1,55,SBb,16
281,MCG+0-2-42,1.4,0.7,22,Sc,15.7
282,MCG+0-2-40,2,2,,,
283,MCG+0-2-41,1.4,1,168,Sc,15
284,MCG+5-2-17,1.6,1.1,23,SBc/Sc,15.1
285,MCG+5-2-18,1,0.3,107,Sa,15
286,MCG+0-2-48,1.6,1.5,,S0,14.2
287,MCG+2-2-12,1.3,1.1,,Sc,15.6
288,MCG+7-2-0,1.4,0.9,135,PECULR,16
289,MCG+3-2-0,1.1,0.2,20,S,17
290,MCG+3-2-0,2.1,0.2,136,DWARF,18
291,MCG+5-2-0,1,0.9,,(DWARF),17
292,MCG+0-2-51,3,0.9,1,S0,13.2
293,MCG+4-2-0,1.1,0.35,56,,17
294,MCG+5-2-0,1.2,0.1,121,Sc,17
295,MCG+0-2-56,1.1,0.6,154,SBb,16
296,MCG+2-2-0,1.2,0.7,,TRP SYS,16.5
297,MCG+3-2-15,1,0.22,127,S,15.4
298,MCG+0-2-59,1,0.3,111,Sb,16
299,MCG+5-2-19,1.6,1,74,Sc,15.3
300,MCG+0-2-0,1.4,1.4,,DWARF,18
301,MCG+0-2-63,1.9,1.7,40,SBb/Sc,13.8
302,MCG+4-2-0,1,0.9,,DWRF SP,17
303,MCG+7-2-5,2.1,1.5,175,IRR,16.5
304,MCG+2-2-15,1.1,0.7,125,S0-a,15.7
305,MCG+2-2-14,1.4,1.2,,Sc,15.3
306,MCG+7-2-6,1,0.7,105,Sc,15.7
307,MCG+2-2-16,1.2,0.6,100,S0,16
308,MCG+1-2-16,1.4,0.7,175,Sa,14.8
309,MCG+2-2-17,1.6,1.6,,S0,14.2
310,MCG+5-2-20,1.3,0.4,30,Sc,14.8
311,MCG+5-2-21,1.5,1.3,45,Sc,14.2
312,MCG+1-2-19,1.7,0.8,7,SB,14.6
