pln
H 1-17,PK358+3.7,17 29.7,-28 41,5,,15.4,,10.00,Oph,Record: 17.5+ 17.5+ 20+
H 1-18,PK357+2.4,17 29.7,-29 33,stellar,,16.5,,8.35,Oph,Record:  17.5- 20+
H 1-19,PK358+3.4,17 30.0,-27 59,stellar,,17.6,,9.45,Oph,Record:  17.5- 20+
H 1-2,PK347+5.1,16 48.9,-35 47,5,,13.1,,7.70,Sco,Record:  17.5+ 8+
H 1-20,PK358+3.6,17 30.7,-28 04,5x4,2,16.0,,10.36,Oph,Record:  17.5- 20+
H 1-21,PK348-4.1,17 32.8,-40 58,stellar,,15.2,,7.05,Sco,Record:  17.5- 20+
H 1-22,PK350-2.1,17 32.3,-37 58,stellar,,16.7,,8.55,Sco,Record:  17.5- 20-
H 1-23,PK357+1.1,17 32.8,-30 00,3,2,15.6,,9.09,Oph,Record:  17.5- 20+
H 1-24,PK4+6.2,17 33.6,-21 46,9,2,16.2,,12.08,Oph,Record: 17.5+ 17.5- 20+
H 1-26,PK350-3.1,17 36.5,-39 22,23x14,4,14.5,,11.88,Sco,Record: 17.5+ 17.5+ 8+
H 1-27,PK5+4.1,17 40.3,-22 19,7x4,2,15.6,,10.32,Oph,Record:  17.5+ 20+
H 1-28,PK350-5.1,17 42.9,-39 36,8,,17.3,,12.92,Sco,Record:  17.5- 20+
H 1-29,PK355-2.2,17 44.2,-34 17,stellar,,15.1,,6.95,Sco,Record: 17.5+ 17.5+ 20+
H 1-3,PK342+0.1,16 53.5,-42 39,18x14,2,16.2,,13.31,Sco,Record:  17.5- 20-
H 1-30,PK352-4.1,17 45.1,-38 09,6x5,2,16.2,,11.00,Sco,Record:  17.5- 20+
H 1-31,PK355-2.4,17 45.5,-34 34,5,,14.5,,9.10,Sco,Record:  17.5- 20+
H 1-32,PK355-2.3,17 46.1,-34 04,5,1,14.3,,11.60,Sco,Record: 17.5+ 17.5+ 8+
H 1-33,PK355-3.1,17 47.8,-34 08,stellar,,15.4,,7.25,Sco,Record:  17.5+ 20+
H 1-34,PK5+2.1,17 48.1,-22 47,stellar,,18.3,,10.15,Sgr,Record:  17.5- 20-
