ngcic
NGC 32          |   STARS   |   PEG |   0   10  53.2    |   +   18  47  33  |       |       |   0.60    |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 33          |   STARS   |   PSC |   0   10  56.6    |   +   3   40  35  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 34          |   NONEX   |   CET |   0   11  6.6 |   -   12  6   28  |   14.4    |   14.8    |   2.10    |   0.8 |   30  |   S/P |   0.019617    |   PGC781  ,   NGC17   ,   MCG-2-1-32  ,   MK938   ,   VV850   ,   IRAS00085-1223  ,       ,       ,       ,       ,       ,   
NGC 35          |   GALXY   |   CET |   0   11  10.4    |   -   12  1   14  |   14.1    |   12.8    |   0.70    |   0.5 |   135 |   Sb  |   0.019894    |   PGC784  ,   MCG-2-1-33  ,   NPM1G-12.0011   ,   IRAS00086-1217  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 36          |   GALXY   |   PSC |   0   11  22.4    |   +   6   23  20  |   13.3    |   14.1    |   2.20    |   1.1 |   21  |   SBb |   0.020114    |   PGC798  ,   UGC106  ,   MCG1-1-43   ,   CGCG408-40  ,   IRAS00088+0606  ,       ,       ,       ,       ,       ,       ,   
NGC 37          |   GALXY   |   PHE |   0   11  23.0    |   -   56  57  25  |   13.7    |   13.3    |   1.10    |   0.7 |   35  |   SB0 |   0.032606    |   PGC801  ,   ESO149-22   ,   AM0007-571  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 38          |   GALXY   |   PSC |   0   11  47.0    |   -   5   35  11  |   13.3    |   13.8    |   1.40    |   1.3 |   80  |   Sa  |   0.026802    |   PGC818  ,   MCG-1-1-47  ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 39          |   GALXY   |   AND |   0   12  18.8    |   +   31  3   39  |   13.5    |   13.5    |   1.10    |   1.0 |   120 |   Sc  |   0.016201    |   PGC852  ,   UGC114  ,   MCG5-1-52   ,   CGCG499-76  ,   IRAS00096+3046  ,       ,       ,       ,       ,       ,       ,   
NGC 40          |   PLNNB   |   CEP |   0   13  1.0 |   +   72  31  21  |   12.3    |       |   1.23    |       |       |   PN  |       |       ,   PK120+9.1   ,   CS=10.6 ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 41          |   GALXY   |   PEG |   0   12  48.0    |   +   22  1   26  |   13.7    |   12.6    |   0.80    |   0.5 |   123 |   Sc  |   0.019844    |   PGC865  ,   MCG4-1-39   ,   CGCG478-42  ,   KUG0010+217 ,   IRAS00101+2144  ,       ,       ,       ,       ,       ,       ,   
NGC 42          |   GALXY   |   PEG |   0   12  56.3    |   +   22  6   3   |   13.8    |   13.2    |   1.10    |   0.6 |   115 |   E-S0    |   0.019950    |   PGC867  ,   UGC118  ,   MCG4-1-41   ,   CGCG478-43  ,   NPM1G+21.0007   ,       ,       ,       ,       ,       ,       ,   
NGC 43          |   GALXY   |   AND |   0   13  0.9 |   +   30  54  56  |   12.6    |   13.4    |   1.60    |   1.5 |   15  |   SB0 |   0.015961    |   PGC875  ,   UGC120  ,   MCG5-1-54   ,   CGCG499-79  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 44          |   STARS   |   AND |   0   13  13.4    |   +   31  17  12  |       |       |       |       |       |   *2  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 45          |   GALXY   |   CET |   0   14  4.0 |   -   23  10  53  |   10.6    |   14.7    |   8.50    |   5.9 |   142 |   SBd |   0.001558    |   PGC930  ,   ESO473-1    ,   MCG-4-1-21  ,   UGCA4   ,   IRAS00115-2327  ,   DDO223  ,   AM0011-232  ,       ,       ,       ,       ,   
NGC 46          |   STARS   |   PSC |   0   14  10.0    |   +   5   59  14  |       |       |       |       |       |   *   |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 47          |   GALXY   |   CET |   0   14  30.5    |   -   7   10  4   |   13.1    |   14.7    |   2.30    |   2.1 |   81  |   SBbc    |   0.019013    |   PGC967  ,   NGC58   ,   MCG-1-1-55  ,   IRAS00119-0726  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 48          |   GALXY   |   AND |   0   14  2.1 |   +   48  14  6   |   13.6    |   13.7    |   1.60    |   1.0 |   15  |   SBbc    |   0.005924    |   PGC929  ,   UGC133  ,   MCG8-1-31   ,   CGCG549-27  ,   IRAS00113+4757  ,       ,       ,       ,       ,       ,       ,   
NGC 49          |   GALXY   |   AND |   0   14  22.4    |   +   48  14  50  |   13.7    |   13.4    |   1.10    |   1.0 |   165 |   S0  |   0.015924    |   PGC952  ,   UGC136  ,   MCG8-1-33   ,   CGCG549-29  ,   NPM1G+47.0008   ,       ,       ,       ,       ,       ,       ,   
NGC 50          |   GALXY   |   CET |   0   14  44.6    |   -   7   20  42  |   12.3    |   14.0    |   2.40    |   1.8 |   170 |   E-S0    |   0.019016    |   PGC983  ,   MCG-1-1-58  ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 51          |   GALXY   |   AND |   0   14  34.8    |   +   48  15  22  |   13.1    |   13.3    |   1.30    |   1.0 |   20  |   S0  |   0.017849    |   PGC974  ,   UGC138  ,   MCG8-1-35   ,   CGCG549-31  ,   NPM1G+47.0009   ,       ,       ,       ,       ,       ,       ,   
NGC 52          |   GALXY   |   PEG |   0   14  40.0    |   +   18  34  54  |   13.4    |   13.1    |   2.20    |   0.4 |   127 |   Sc  |   0.017986    |   PGC978  ,   UGC140  ,   MCG3-1-30   ,   CGCG456-42  ,   IRAS00120+1818  ,       ,       ,       ,       ,       ,       ,   
NGC 53          |   GALXY   |   TUC |   0   14  43.0    |   -   60  19  43  |   12.6    |   13.6    |   2.00    |   1.4 |   172 |   SBb |   0.015237    |   PGC982  ,   ESO111-20   ,   FAIR3   ,   AM0012-603  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 54          |   GALXY   |   CET |   0   15  7.6 |   -   7   6   24  |   13.4    |   12.4    |   1.30    |   0.5 |   93  |   Sa  |   0.017802    |   PGC1011 ,   MCG-1-1-60  ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 55          |   GALXY   |   SCL |   0   15  8.0 |   -   39  13  10  |   7.9 |   13.4    |   31.20   |   5.9 |   108 |   SBm |   0.000430    |   PGC1014 ,   ESO293-50   ,   MCG-7-1-13  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 56          |   NONEX   |   PSC |   0   15  20.6    |   +   12  26  40  |       |       |       |       |       |   NF  |       |       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 57          |   GALXY   |   PSC |   0   15  30.9    |   +   17  19  45  |   11.6    |   13.1    |   2.20    |   1.9 |   40  |   E1  |   0.018146    |   PGC1037 ,   UGC145  ,   MCG3-1-31   ,   CGCG456-46  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 58          |   NONEX   |   CET |   0   14  30.5    |   -   7   10  4   |   13.1    |   14.7    |   2.30    |   2.1 |   81  |   SBbc    |   0.019013    |   PGC967  ,   NGC47   ,   MCG-1-1-55  ,   IRAS00119-0726  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 59          |   GALXY   |   CET |   0   15  25.3    |   -   21  26  41  |   12.4    |   13.6    |   2.60    |   1.3 |   127 |   E-S0    |   0.001207    |   PGC1034 ,   ESO539-4    ,   MCG-4-1-26  ,   KDWG2   ,       ,       ,       ,       ,       ,       ,       ,   
NGC 60          |   GALXY   |   PSC |   0   15  58.2    |   -   0   18  13  |   14.1    |   14.3    |   1.30    |   1.2 |   155 |   Sc  |   0.039452    |   PGC1058 ,   UGC150  ,   MCG0-1-48   ,   CGCG382-37  ,       ,       ,       ,       ,       ,       ,       ,   
NGC 61  A       |   GALXY   |   CET |   0   16  24.0    |   -   6   19  2   |   13.0    |   12.4    |   1.10    |   0.7 |   24  |   S0  |   0.026505    |   PGC1083 ,   MCG-1-1-62  ,   VV742   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 61  B       |   GALXY   |   CET |   0   16  24.4    |   -   6   19  20  |   14.5    |   13.3    |   0.90    |   0.4 |   63  |   S0  |   0.026505    |   PGC1085 ,   MCG-1-1-63  ,   VV742   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 62          |   GALXY   |   CET |   0   17  5.3 |   -   13  29  11  |   13.2    |   12.6    |   1.10    |   0.8 |   130 |   Sa  |   0.021562    |   PGC1125 ,   MCG-2-1-43  ,   IRAS00145-1345  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 63          |   GALXY   |   PSC |   0   17  45.5    |   +   11  27  0   |   11.7    |   12.3    |   1.70    |   1.2 |   108 |   S/P |   0.003869    |   PGC1160 ,   UGC167  ,   MCG2-1-30   ,   CGCG433-42  ,   IRAS00151+1110  ,       ,       ,       ,       ,       ,       ,   
NGC 64          |   GALXY   |   CET |   0   17  30.3    |   -   6   49  30  |   13.2    |   13.7    |   1.60    |   1.1 |   39  |   SBbc    |   0.024390    |   PGC1149 ,   MCG-1-1-68  ,   IRAS00149-0706  ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 65          |   GALXY   |   CET |   0   18  58.7    |   -   22  52  48  |   13.9    |   12.9    |   1.00    |   0.8 |   5   |   E/SB0   |   0.024327    |   PGC1229 ,   ESO473-10A  ,   MCG-4-2-1   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 66          |   GALXY   |   CET |   0   19  4.9 |   -   22  56  11  |   13.5    |   13.1    |   1.20    |   0.7 |   32  |   SBb |   0.025364    |   PGC1236 ,   ESO473-10   ,   MCG-4-2-2   ,   AM0016-231  ,   IRAS00165-2312  ,       ,       ,       ,       ,       ,       ,   
NGC 67          |   GALXY   |   AND |   0   18  14.9    |   +   30  3   48  |   14.2    |   11.5    |   0.30    |   0.2 |   51  |   E3  |   0.022162    |   PGC1185 ,   MCG5-1-64   ,   CGCG499-104 ,   ARAK4   ,   Arp113  ,   VV166   ,       ,       ,       ,       ,       ,   
NGC 67  A       |   GALXY   |   AND |   0   18  12.1    |   +   30  3   19  |   14.7    |   12.0    |   0.40    |   0.2 |   100 |   E5  |   0.020734    |   PGC138159   ,   Arp113  ,   VV166   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 68          |   GALXY   |   AND |   0   18  18.2    |   +   30  4   21  |   12.9    |   13.0    |   1.20    |   1.1 |   0   |   E-S0    |   0.019130    |   PGC1187 ,   UGC170  ,   MCG5-1-65   ,   CGCG499-106 ,   Arp113  ,   VV166   ,   IRAS00157+2947  ,       ,       ,       ,       ,   
NGC 69          |   GALXY   |   AND |   0   18  20.4    |   +   30  2   26  |   14.7    |   14.1    |   0.50    |   0.3 |   33  |   E/SB0   |   0.022285    |   PGC1191 ,   MCG5-1-66   ,   CGCG499-105 ,   ARAK5   ,   Arp113  ,   VV166   ,   NPM1G+29.0011   ,       ,       ,       ,       ,   
NGC 70          |   GALXY   |   AND |   0   18  22.4    |   +   30  4   44  |   13.5    |   13.9    |   1.60    |   1.4 |   0   |   Sbc |   0.023907    |   PGC1194 ,   IC1539  ,   UGC174  ,   MCG5-1-67   ,   CGCG499-108 ,   Arp113  ,   VV166   ,       ,       ,       ,       ,   
NGC 71          |   GALXY   |   AND |   0   18  23.5    |   +   30  3   47  |   13.2    |   13.4    |   1.20    |   0.9 |   129 |   E-S0/P  |   0.022339    |   PGC1197 ,   UGC173  ,   MCG5-1-68   ,   CGCG499-107 ,   Arp113  ,   VV166   ,       ,       ,       ,       ,       ,   
NGC 72          |   GALXY   |   AND |   0   18  28.4    |   +   30  2   26  |   13.5    |   13.4    |   1.10    |   0.9 |   15  |   SBab    |   0.024213    |   PGC1204 ,   UGC176  ,   MCG5-1-69   ,   CGCG499-109 ,   Arp113  ,   VV166   ,       ,       ,       ,       ,       ,   
NGC 72  A       |   GALXY   |   AND |   0   18  34.3    |   +   30  2   10  |   14.7    |   12.0    |   0.30    |   0.3 |       |   E3  |   0.022399    |   PGC1208 ,   MCG5-1-70   ,   CGCG499-110 ,   ARAK6   ,   VV166   ,       ,       ,       ,       ,       ,       ,   
NGC 73          |   GALXY   |   CET |   0   18  38.9    |   -   15  19  18  |   13.7    |   14.3    |   1.70    |   1.2 |   145 |   Sbc |   0.025891    |   PGC1211 ,   MCG-3-1-26  ,   NPM1G-15.0014   ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 74          |   GALXY   |   AND |   0   18  49.5    |   +   30  3   41  |   14.8    |   13.1    |   0.80    |   0.3 |   131 |   Sb  |   0.023646    |   PGC1219 ,   MCG5-1-71   ,       ,       ,       ,       ,       ,       ,       ,       ,       ,   
NGC 75          |   GALXY   |   PSC |   0   19  26.3    |   +   6   26  59  |   13.2    |   13.3    |   1.10    |   1.1 |       |   S0  |   0.019347    |   PGC1255 ,   UGC182  ,   MCG1-1-51   ,   CGCG408-48  ,   NPM1G+06.0009   ,       ,       ,       ,       ,       ,       ,   
NGC 76          |   GALXY   |   AND |   0   19  37.7    |   +   29  56  3   |   13.1    |   12.8    |   1.00    |   0.9 |   65  |   C   |   0.024440    |   PGC1267 ,   UGC185  ,   MCG5-1-72   ,   CGCG499-111 ,       ,       ,       ,       ,       ,       ,       ,   
